t,T,edge,bal,ela
1534.0,0.9488640282113341,10700.0,5439099.688547124,1003.8655422430289
1535.0,1.1827692762193616,10700.0,2598115.3159906827,1043.1767170869093
1536.0,1.483242929202107,10700.0,-1051895.9519917108,1084.9489011038922
1537.0,1.2291782877632347,10700.0,2053633.5590511905,1043.3032086610651
1538.0,0.15329704830833668,10700.0,15170367.414630622,878.9383386332137
1539.0,0.9731910883687851,10700.0,5194253.461558834,1005.7429003290165
1540.0,1.8807850473166052,10650.0,-5724028.232259772,1147.154967247227
1541.0,2.4617437766533437,10650.0,-12775215.04621962,1237.024671838074
1542.0,0.7441724246453978,10650.0,8125235.5103381155,972.5881324586545
1543.0,1.1982957357803556,10650.0,2608000.2923287097,1043.9773064657809
1544.0,0.8700372847608469,10650.0,6608387.690384349,992.2143611804348
1545.0,1.081406596221421,10650.0,4046395.840555055,1025.460880815504
1546.0,2.338530341193918,10650.0,-11233731.258791974,1216.5342262724284
1547.0,1.267288687355328,10650.0,1804115.2905864539,1054.4746804279805
1548.0,1.6184350995046488,10650.0,-2462233.2888054335,1107.4623888770752
1549.0,2.9772403792563544,10650.0,-18986018.516896877,1315.941661955118
1550.0,1.5109684270617496,10650.0,-1152952.6759886611,1084.3103652912946
1551.0,2.3462766290882753,10650.0,-11319528.697424872,1219.4942186243525
1552.0,2.511861574124154,10650.0,-13342762.932912357,1241.1767290119815
1553.0,1.6367985048261584,10650.0,-2713086.759055718,1105.1201027003892
1554.0,-0.70068966988861,10650.0,25701653.889147162,747.3971962283952
1555.0,2.4718655496571103,10650.0,-12898051.51951041,1235.179543457312
1556.0,0.4139153816166128,10650.0,12126560.684982356,918.4410873199482
1557.0,1.1966613977455394,10650.0,2600015.3163772495,1042.6805474317782
1558.0,1.7348056866817387,10650.0,-3947296.100009838,1128.948289747987
1559.0,2.3583666099003153,10650.0,-11533078.641424462,1219.1367723078308
1560.0,1.775647917712262,10650.0,-4449570.658131549,1128.1098681306776
1561.0,1.0201584027607815,10650.0,4732066.681268564,1009.8998404479994
1562.0,1.9866585973743334,10650.0,-7030977.885978417,1162.8712990157148
1563.0,1.1183896863219678,10650.0,3522903.111280109,1030.2983120964734
1564.0,1.7166484820465993,10650.0,-3761102.8787993724,1115.459726695755
1565.0,1.601052666742822,10650.0,-2361661.342504395,1105.2750925172274
1566.0,1.0476287676718252,10650.0,4362561.1042158995,1021.894335556851
1567.0,0.543804299740327,10650.0,10484497.865303792,939.4918305626348
1568.0,2.379319000539086,10650.0,-11843636.561941305,1223.9899321063249
1569.0,2.8238634608271225,10650.0,-17252497.624990366,1290.3471936235946
1570.0,0.4239321520624082,10650.0,11930807.14960281,920.1955030176697
1571.0,1.2243982589123767,10650.0,2185730.7394110793,1041.1419852634108
1572.0,1.8412319934137242,10650.0,-5322156.856738268,1144.5516951445984
1573.0,0.9125304113781887,10650.0,5968864.637294192,993.5747581566087
1574.0,1.1196043900373667,10650.0,3445818.4112428213,1030.058978551443
1575.0,0.7256278753358929,10650.0,8236082.614294584,969.7348588788577
1576.0,0.6248688098453319,10650.0,9462909.246155592,954.2447999623948
1577.0,1.073068754168876,10650.0,4016890.8349417225,1023.1130461932688
1578.0,1.7800906045357356,10650.0,-4574081.157744011,1129.1009186330418
1579.0,1.7488849548756216,10650.0,-4186273.248192815,1128.831575312241
1580.0,-0.38093671833218146,10650.0,21724710.257568035,796.841218073195
1581.0,1.948368428753736,10650.0,-6598740.409690067,1159.5347287197155
1582.0,1.5437202978159243,10650.0,-1665368.6889938898,1095.6298908699616
1583.0,0.9276466726801811,10650.0,5836808.240156906,1004.3909415913383
1584.0,0.08251356357156414,10650.0,16124847.646082528,872.7058211639678
1585.0,0.9046933909026604,10650.0,6137000.329918294,997.5204340176812
1586.0,0.29507515926775874,10650.0,13568846.738757338,905.3108112136163
1587.0,-0.0007185442931718633,10650.0,17186935.094368815,858.1200010637508
1588.0,0.7969624265221111,10650.0,7510555.864625082,982.3574397897962
1589.0,1.3191700282777905,10650.0,1188786.3484308813,1067.0085955282805
1590.0,1.1528473535764379,10650.0,3241023.1439456595,1035.9245776098176
1591.0,1.8227578250698278,10700.0,-5001337.044479622,1139.1264903955328
1592.0,2.044602393241675,10700.0,-7680768.042529887,1170.7331788144186
1593.0,1.0612891762261585,10700.0,4315779.506963577,1015.4809818240132
1594.0,2.5401676696456024,10700.0,-13687478.145307641,1250.0325293729484
1595.0,0.7693963471542844,10700.0,7894787.443500871,975.7194943795341
1596.0,0.6126201063883463,10700.0,9811003.63569943,951.3229180062295
1597.0,2.190583878627174,10700.0,-9403862.430920783,1194.918669277887
1598.0,2.3617907165703755,10700.0,-11481189.776490718,1222.2089859778555
1599.0,0.2781200836972082,10700.0,13906350.036475917,899.2344129739815
1600.0,1.4014821084240063,10700.0,222792.8840662986,1077.0424996595445
1601.0,1.3979152432782218,10700.0,270979.5318437638,1076.9968413459862
1602.0,2.0699413280534165,10700.0,-7911749.119483825,1175.5351221411834
1603.0,0.6603090225194519,10750.0,9165425.074100334,959.6874685279148
1604.0,2.0738126949062785,10750.0,-8080723.390189277,1175.4524651964457
1605.0,2.69407847699813,10750.0,-15647602.116030745,1269.5728936734145
1606.0,0.9020505529314127,10750.0,6215481.069900082,993.5768033940383
