t,T,edge,bal,ela
1374.0,0.9897409895353269,11300.0,4248197.647554344,1007.8553799737354
1375.0,1.35644925937671,11300.0,-307766.105208165,1065.3248117244086
1376.0,0.631688311102161,11300.0,8689556.453549124,954.3555021340252
1377.0,0.9558122946377052,11350.0,4559089.044464727,1000.3081928463987
1378.0,0.7170036334762213,11350.0,7532185.895705354,966.0584603906736
1379.0,1.5075278731298365,11350.0,-2292988.9034803845,1086.9261160147194
1380.0,0.2068553494998424,11350.0,13889478.911448283,890.8867750007918
1381.0,0.493262311202852,11350.0,10336678.707668155,934.6734061180276
1382.0,1.8494677150417491,11350.0,-6515304.440373042,1138.8152974742832
1383.0,1.5049981170074416,11350.0,-2217282.7993466817,1087.4637574652286
1384.0,1.6924398101687945,11400.0,-4658411.413529243,1118.844760675617
1385.0,2.156089037819344,11400.0,-10426186.533099825,1191.6128292417811
1386.0,0.6421374296202176,11400.0,8433780.759338912,955.2394743624174
1387.0,0.9088879865892192,11400.0,5112205.784978613,995.9489439254615
1388.0,1.2357293714133242,11400.0,1044774.4959015641,1046.55150968265
1389.0,2.251976315664323,11400.0,-11608493.507867107,1203.4081158499591
1390.0,-0.21179493716364517,11400.0,19081690.847770866,827.3899636707245
1391.0,2.133108143686494,11400.0,-10122808.223158618,1186.868742338099
1392.0,1.8425842156696666,11400.0,-6499233.046185032,1137.8939272581194
1393.0,0.5660306316008872,11400.0,9401748.575837024,943.5996901042718
1394.0,0.1297193980889091,11450.0,14746837.924358588,878.2010506032336
1395.0,1.7026374767378902,11450.0,-4869902.640822342,1119.296645144344
1396.0,2.2957042858498395,11450.0,-12260414.148390548,1212.9857761110516
1397.0,2.341976378884162,11450.0,-12833986.942788946,1216.5720886503775
1398.0,1.0090339929053487,11450.0,3791972.711238591,1008.4121232566515
1399.0,1.1891079468291865,11450.0,1540008.9192063045,1034.8655381697513
1400.0,1.33763976853243,11450.0,-317266.8998843422,1065.6956103881262
1401.0,0.8787903119348508,11450.0,5403306.907491821,990.4832661509824
1402.0,1.5310987970159262,11450.0,-2736656.3254638184,1097.335108835057
1403.0,1.782154048436631,11450.0,-5869939.888291866,1130.4892081854991
1404.0,0.12929115702510208,11450.0,14746853.680628555,877.2402508701025
1405.0,1.6042559557659013,11500.0,-3773728.7393949255,1108.6066430499995
1406.0,1.8421299346879039,11500.0,-6744178.708554303,1137.6177349254401
1407.0,2.1960474443462763,11500.0,-11166797.413973328,1193.1084522238734
1408.0,0.3491983611364273,11500.0,11904459.084462974,907.9528269193903
1409.0,1.4240480870590062,11500.0,-1530209.0142395552,1076.3570415505612
1410.0,2.802507003219106,11500.0,-18755646.60360167,1288.3788255623485
1411.0,0.7424396433405485,11500.0,6978441.835651604,971.0433741549907
1412.0,0.9539051713774551,11500.0,4327718.157960722,999.2666655950197
1413.0,1.5919599997031222,11500.0,-3650178.976454936,1096.58128093408
1414.0,3.095274630180241,11500.0,-22438289.5876643,1331.9369640478444
1415.0,1.4157807591897154,11500.0,-1463030.5701821335,1074.515099963655
1416.0,1.6359587149223005,11500.0,-4228553.815266658,1106.3199990688333
1417.0,1.8153680142141324,11500.0,-6485168.2856482025,1135.5793632950797
1418.0,2.1141370208602233,11500.0,-10234229.474949988,1180.8543433918703
1419.0,0.7280411979773347,11500.0,7066480.184962384,968.2984311519319
1420.0,1.9720158079959846,11500.0,-8494234.436270857,1157.9913507698627
1421.0,0.779590917338405,11500.0,6388660.635860977,975.2498491937088
1422.0,1.2413131432741906,11500.0,604557.1190726543,1042.6220188916
1423.0,0.6164955171576052,11500.0,8399633.2191591,950.9003792534661
1424.0,0.9351559030029009,11500.0,4409682.9845679365,996.8343584139118
1425.0,0.7953499149853509,11500.0,6152387.243691643,979.663735772824
1426.0,1.9350010842167817,11500.0,-8087938.249999386,1151.9522401571992
1427.0,-0.4001823839340144,11500.0,21089195.661188133,790.7476937618908
1428.0,1.4067647427119514,11500.0,-1485486.0865099626,1075.6746594863785
1429.0,1.2780926729244362,11500.0,129801.21045692824,1054.7712435563376
1430.0,1.3795891899076285,11500.0,-1131302.7418629695,1064.728162549556
1431.0,1.812574380649906,11500.0,-6535126.304214466,1136.8196254872714
1432.0,0.14039822990667172,11500.0,14362022.06768876,881.2551281488903
1433.0,2.325208092086017,11500.0,-12931861.825546991,1216.0465131357566
1434.0,1.3941425290256344,11500.0,-1293602.1634230511,1075.346540753543
1435.0,2.69260393176791,11500.0,-17516597.288535208,1273.2673351264216
1436.0,0.8495417253939941,11500.0,5508273.636238491,987.1969804265987
1437.0,1.0954899251510586,11500.0,2428404.5741870143,1024.7052265173743
1438.0,0.7429711751088162,11500.0,6828176.771325757,969.5195122220236
1439.0,1.8694010982665752,11500.0,-7248520.093346292,1146.3952326913945
1440.0,0.7509821585662162,11500.0,6724115.6325883325,973.6125177995216
1441.0,0.4048714605255883,11500.0,11047034.00983635,918.5090083785578
1442.0,2.423633295130429,11500.0,-14174222.373112824,1231.2771799792529
1443.0,1.2150768528155034,11500.0,928730.4534363756,1044.2056001065002
1444.0,2.1923312474045753,11450.0,-11151977.774688018,1192.5637029070103
1445.0,1.5772994788842656,11450.0,-3482458.0011780877,1095.6574296254769
1446.0,1.656027979645149,11450.0,-4471097.797675198,1106.6480905745454
1447.0,2.610331859363506,11450.0,-16384283.86474051,1257.5581645931072
1448.0,1.4548060302860168,11450.0,-1980773.6221625041,1083.728175294719
1449.0,1.8798965964131753,11450.0,-7299207.561723173,1144.885491662138
1450.0,2.2766876527198603,11450.0,-12265564.104479603,1204.1061579941952
1451.0,1.0363674379010064,11450.0,3188665.777549565,1009.8928977096253
1452.0,0.7079428822394664,11450.0,7266187.423125305,964.4883903598972
1453.0,1.5513124472741842,11450.0,-3270863.5585614843,1094.4877457450402
1454.0,0.9781917922811685,11400.0,3973039.592776466,1003.3823104433743
1455.0,1.896636876215526,11400.0,-7477722.963615085,1150.9186178804835
1456.0,1.576854348657453,11400.0,-3504694.6167846816,1094.2674300551328
1457.0,0.26355389238187366,11400.0,12842119.170883246,895.5967695913993
1458.0,1.9826286668973108,11400.0,-8578546.29770054,1163.1742096010232
1459.0,0.9946703814551627,11400.0,3721169.3714624476,1010.3945657516174
1460.0,1.9635758915421677,11400.0,-8353482.172208067,1158.0795694503872
1461.0,2.3344625073080554,11400.0,-12979549.270735405,1213.3599106340894
